taxonID,number,distribution,conservation_status
cfd651cb3bc3,001.000,NA,NA
381868bcdfc9,001.0000,NA,NA
fe945d1c5e27,001.1000,NA,NA
9251fe18946d,001.1001,NA,NA
7052a808f5ad,001.1001,"USA (Alabama, Arkansas, Connecticut, Delaware, Florida, Georgia, Louisiana, Massachusetts, Maryland, Maine, Mississippi, North Carolina, New Jersey, New York, Pennsylvania, Rhode Island, South Carolina, Tennessee, Texas, Virginia); Guatemala; El Salvador; Colombia (Antioquia, Boyac&aacute;, Caldas, Cauca, Cundinamarca, Huila, Meta, Nari&ntilde;o, Norte de Santander, Putumayo, Risaralda, Santander, Tolima, Valle, Vichada); Ecuador; Peru; Argentina (Buenos Aires, Corrientes, Misiones); Paraguay (Amambay, Canindeyu); Uruguay (Colonia, Maldonado, Montevideo, Rocha)",NA
74a810adc89b,001.1001,"Ecuador; Colombia (Antioquia, Cundinamarca, Meta, Santander, Valle); Bolivia (Beni, La Paz, Santa Cruz)",NA
195712fe0b97,001.1001,"USA (Alabama, Arkansas, Connecticut, District of Columbia, Delaware, Florida, Georgia, Illinois, Indiana, Kansas, Kentucky, Louisiana, Massachusetts, Maryland, Maine, Mississippi, North Carolina, New Hampshire, New Jersey, New York, Oklahoma, Pennsylvania, Rhode Island, South Carolina, Tennessee, Texas, Virginia, Vermont); Canada (Newfoundland, Nova Scotia, Prince Edward Isl.); St. Pierre et Miquelon; Cuba",NA
1b2633f07a2e,001.1001,"Brazil (Minas Gerais, Paran&aacute;, Rio de Janeiro, Rio Grande do Sul, Santa Catarina)",NA
5ebc012cd05f,001.1001,"Brazil (Bahia, Brasilia Distrito Federal, Minas Gerais, Mato Grosso, Mato Grosso do Sul, Paran&aacute;, Rio de Janeiro, Rio Grande do Sul, Santa Catarina, S&atilde;o Paulo); Argentina (Corrientes); Paraguay (Alto Paran&aacute;, Caaguazu); Uruguay (Montevideo, Rivera)",NA
f797de97a54d,001.1001,"Austria; Belgium; Luxembourg; England; Wales; Scotland; Ireland; Bulgaria; Czech Republic; Slovakia; Denmark; Finland; France; Germany (Brandenburg, Berlin+, Baden-W&uuml;rttemberg, Bayern, Hessen, Hamburg, Mecklenburg-Vorpommern, Niedersachsen, Nordrhein-Westfalen, Rheinland-Pfalz, Schleswig-Holstein, Saarland+, Sachsen, Sachsen-Anhalt, Th&uuml;ringen); Switzerland; Netherlands; Spain; Portugal; Italy; Croatia; Slovenia; Serbia &amp; Kosovo; European Russia (W-European Russia); Estonia; Latvia; Lithuania; Belarus; Ukraine; Georgia [Caucasus]; Siberia (W-Siberia, C-Siberia); Japan; China (Fujian); Turkey (Anatolia); Azores (Sao Miguel Isl., Pico); Alaska; USA (California, Connecticut, Iowa, Idaho, Illinois, Indiana, Kentucky, Massachusetts, Maryland, Maine, Michigan, Minnesota, Montana, North Carolina, New Hampshire, New Jersey, New York, Ohio, Oregon, Pennsylvania, Rhode Island, Virginia, Vermont, Washington State, Wisconsin, West Virginia); Canada (Alberta, British Columbia, Labrador, Manitoba, New Brunswick, Newfoundland, Nova Scotia, Ontario, Prince Edward Isl., Qu&eacute;bec, Saskatchewan); St. Pierre et Miquelon",NA
